HHID,residence,region,wealth_q
001001,Rural,Great Lake,Middle
001002,Rural,Great Lake,Poor
001003,Rural,Great Lake,Rich
001004,Rural,Great Lake,Middle
001005,Rural,Great Lake,Rich
001006,Rural,Great Lake,Rich
001007,Rural,Great Lake,Rich
001008,Rural,Great Lake,Rich
001009,Rural,Great Lake,Middle
001010,Rural,Great Lake,Rich
001011,Rural,Great Lake,Rich
001012,Rural,Great Lake,Poor
001014,Rural,Great Lake,Middle
001015,Rural,Great Lake,Rich
001016,Rural,Great Lake,Middle
001017,Rural,Great Lake,Middle
001018,Rural,Great Lake,Rich
001019,Rural,Great Lake,Middle
001020,Rural,Great Lake,Rich
001021,Rural,Great Lake,Rich
001022,Rural,Great Lake,Middle
001023,Rural,Great Lake,Rich
001025,Rural,Great Lake,Rich
001026,Rural,Great Lake,Middle
001027,Rural,Great Lake,Rich
001028,Rural,Great Lake,Middle
002001,Rural,Great Lake,Rich
002002,Rural,Great Lake,Middle
002003,Rural,Great Lake,Middle
002004,Rural,Great Lake,Poor
002005,Rural,Great Lake,Rich
002006,Rural,Great Lake,Middle
002007,Rural,Great Lake,Middle
002008,Rural,Great Lake,Middle
002009,Rural,Great Lake,Middle
002010,Rural,Great Lake,Rich
002011,Rural,Great Lake,Rich
002012,Rural,Great Lake,Richest
002013,Rural,Great Lake,Rich
002014,Rural,Great Lake,Rich
002015,Rural,Great Lake,Rich
002016,Rural,Great Lake,Rich
002017,Rural,Great Lake,Middle
002018,Rural,Great Lake,Rich
002019,Rural,Great Lake,Middle
002020,Rural,Great Lake,Middle
002021,Rural,Great Lake,Rich
002022,Rural,Great Lake,Rich
002023,Rural,Great Lake,Rich
002024,Rural,Great Lake,Middle
002025,Rural,Great Lake,Rich
002026,Rural,Great Lake,Rich
002027,Rural,Great Lake,Rich
002028,Rural,Great Lake,Rich
003001,Rural,Great Lake,Rich
003002,Rural,Great Lake,Richest
003003,Rural,Great Lake,Middle
003005,Rural,Great Lake,Rich
003006,Rural,Great Lake,Rich
003007,Rural,Great Lake,Rich
003008,Rural,Great Lake,Rich
003010,Rural,Great Lake,Rich
003011,Rural,Great Lake,Middle
003012,Rural,Great Lake,Richest
003013,Rural,Great Lake,Middle
003014,Rural,Great Lake,Rich
003015,Rural,Great Lake,Middle
003017,Rural,Great Lake,Rich
003018,Rural,Great Lake,Rich
003019,Rural,Great Lake,Middle
003020,Rural,Great Lake,Richest
003021,Rural,Great Lake,Rich
003022,Rural,Great Lake,Richest
003023,Rural,Great Lake,Rich
003024,Rural,Great Lake,Rich
003025,Rural,Great Lake,Rich
003026,Rural,Great Lake,Rich
003027,Rural,Great Lake,Rich
003028,Rural,Great Lake,Rich
004001,Urban,Great Lake,Rich
004002,Urban,Great Lake,Rich
004003,Urban,Great Lake,Rich
004004,Urban,Great Lake,Rich
004005,Urban,Great Lake,Rich
004006,Urban,Great Lake,Richest
004007,Urban,Great Lake,Rich
004008,Urban,Great Lake,Richest
004009,Urban,Great Lake,Rich
004010,Urban,Great Lake,Rich
004011,Urban,Great Lake,Rich
004012,Urban,Great Lake,Rich
004013,Urban,Great Lake,Rich
004014,Urban,Great Lake,Richest
004015,Urban,Great Lake,Middle
004016,Urban,Great Lake,Rich
004017,Urban,Great Lake,Rich
004019,Urban,Great Lake,Richest
004020,Urban,Great Lake,Poorest
004021,Urban,Great Lake,Rich
004022,Urban,Great Lake,Rich
004023,Urban,Great Lake,Rich
004024,Urban,Great Lake,Richest
005001,Urban,Great Lake,Richest
005002,Urban,Great Lake,Richest
005004,Urban,Great Lake,Richest
005006,Urban,Great Lake,Richest
005007,Urban,Great Lake,Richest
005008,Urban,Great Lake,Richest
005009,Urban,Great Lake,Richest
005010,Urban,Great Lake,Richest
005011,Urban,Great Lake,Richest
005012,Urban,Great Lake,Richest
005013,Urban,Great Lake,Richest
005014,Urban,Great Lake,Richest
005015,Urban,Great Lake,Richest
005016,Urban,Great Lake,Richest
005017,Urban,Great Lake,Richest
005018,Urban,Great Lake,Richest
005019,Urban,Great Lake,Rich
005020,Urban,Great Lake,Richest
005021,Urban,Great Lake,Richest
005022,Urban,Great Lake,Richest
005023,Urban,Great Lake,Rich
005024,Urban,Great Lake,Richest
006001,Rural,Great Lake,Poor
006002,Rural,Great Lake,Poor
006003,Rural,Great Lake,Middle
006004,Rural,Great Lake,Poorest
006005,Rural,Great Lake,Poorest
006006,Rural,Great Lake,Middle
006008,Rural,Great Lake,Poorest
006009,Rural,Great Lake,Rich
006010,Rural,Great Lake,Poor
006011,Rural,Great Lake,Middle
006012,Rural,Great Lake,Poor
006014,Rural,Great Lake,Middle
006016,Rural,Great Lake,Middle
006017,Rural,Great Lake,Middle
006018,Rural,Great Lake,Middle
006019,Rural,Great Lake,Rich
006020,Rural,Great Lake,Middle
006021,Rural,Great Lake,Middle
006022,Rural,Great Lake,Poor
006023,Rural,Great Lake,Poor
006024,Rural,Great Lake,Poor
006025,Rural,Great Lake,Poor
006026,Rural,Great Lake,Middle
006027,Rural,Great Lake,Rich
006028,Rural,Great Lake,Middle
007001,Rural,Great Lake,Poor
007002,Rural,Great Lake,Middle
007004,Rural,Great Lake,Rich
007005,Rural,Great Lake,Richest
007006,Rural,Great Lake,Rich
007007,Rural,Great Lake,Rich
007008,Rural,Great Lake,Rich
