MEMID,HV106
003023005,Primary
003024001,Primary
003024002,Primary
003024003,Primary
003024004,"No education, preschool"
003025001,Primary
003025002,Secondary
003025003,Primary
003025004,Primary
003025005,Primary
003026001,Primary
003026002,Secondary
003026003,Primary
003026004,"No education, preschool"
003026005,"No education, preschool"
003027001,Primary
003027002,Primary
003027003,Primary
003027004,"No education, preschool"
003027005,"No education, preschool"
003028001,Primary
003028002,"No education, preschool"
003028003,Secondary
003028004,Secondary
003028005,"No education, preschool"
004001001,Secondary
004002001,Secondary
004002002,Secondary
004002003,Secondary
004003001,"No education, preschool"
004003002,Primary
004003003,Primary
004003004,Secondary
004003005,"No education, preschool"
004003006,"No education, preschool"
004004001,Primary
004004002,"No education, preschool"
004004003,Primary
004004004,Secondary
004004005,Primary
004004006,Secondary
004004007,Primary
004004008,"No education, preschool"
004005001,Primary
004005002,Secondary
004005003,Primary
004005004,"No education, preschool"
004006001,Primary
004006002,Secondary
004007001,Secondary
004007002,Primary
004008001,"No education, preschool"
004008002,Secondary
004009001,"No education, preschool"
004009002,Primary
004009003,Secondary
004009004,Secondary
004009005,Primary
004009006,Primary
004009007,"No education, preschool"
004010001,Secondary
004010002,Primary
004010003,Primary
004011001,"No education, preschool"
004011002,Primary
004012001,"No education, preschool"
004012002,Primary
004012003,Secondary
004012004,Primary
004013001,Primary
004013002,Primary
004013003,"No education, preschool"
004013004,"No education, preschool"
004014001,Secondary
004014002,Secondary
004014003,Higher
004014004,Higher
004014005,Higher
004014006,Primary
004014007,"No education, preschool"
004015001,Primary
004015002,"No education, preschool"
004015003,Primary
004015004,Secondary
004016001,Secondary
004016002,Primary
004016003,Secondary
004016004,"No education, preschool"
004017001,Primary
004017002,Primary
004017003,"No education, preschool"
004019001,"No education, preschool"
004019002,Secondary
004019003,Primary
004019004,Secondary
004019005,Primary
004019006,"No education, preschool"
004020001,Secondary
004020002,Secondary
004021001,Primary
004021002,Primary
004021003,Secondary
004021004,Primary
004021005,Primary
004022001,"No education, preschool"
004022002,Primary
004023001,Primary
004023002,Primary
004023003,Primary
004023004,Primary
004023005,"No education, preschool"
004023006,"No education, preschool"
004024001,Secondary
004024002,Primary
004024003,Secondary
004024004,Primary
004024005,"No education, preschool"
005001001,Primary
005001002,Secondary
005001003,Secondary
005001004,Secondary
005001005,Primary
005002001,Primary
005002002,Primary
005002003,Secondary
005002004,Secondary
005002005,"No education, preschool"
005002006,Higher
005002007,Secondary
005002008,"No education, preschool"
005004001,"No education, preschool"
005004002,Secondary
005004003,Secondary
005004004,Primary
005004005,"No education, preschool"
005006001,Secondary
005006002,Secondary
005006003,Primary
005006004,Higher
005006005,Higher
005006006,Higher
005007001,Secondary
005007002,Higher
005007003,Higher
005007004,Secondary
005007005,Secondary
005007006,Primary
005008001,Secondary
005008002,Secondary
005008003,Secondary
005008004,Secondary
005008005,Secondary
005008006,Secondary
005008007,Secondary
005009001,Secondary
005009002,Secondary
005009003,Higher
005010001,Secondary
005010002,Primary
005011001,Secondary
005011002,Secondary
005011003,"No education, preschool"
005012001,Secondary
005012002,Secondary
005012003,Primary
005012004,"No education, preschool"
005012005,Higher
005012006,Primary
005013001,Primary
005013002,Secondary
005013003,Secondary
005013004,"No education, preschool"
005013005,"No education, preschool"
005014001,Secondary
005014002,Secondary
005014003,Primary
005014004,"No education, preschool"
005014005,"No education, preschool"
005014006,"No education, preschool"
005014007,Secondary
