MEMID,HV106
199023001,Secondary
199023002,Primary
199023003,Primary
199023004,Secondary
199023005,Higher
199023006,Higher
199023007,Secondary
199023008,"No education, preschool"
199024001,Secondary
199024002,Higher
200001001,Secondary
200001002,Secondary
200001003,Secondary
200001004,Primary
200001005,Primary
200002001,Secondary
200002002,Primary
200002003,Primary
200002004,Primary
200002005,"No education, preschool"
200002006,"No education, preschool"
200002007,"No education, preschool"
200004001,Primary
200004002,Secondary
200004003,Primary
200004004,Higher
200004005,Higher
200004006,Secondary
200004007,Secondary
200004008,Higher
200004009,"No education, preschool"
200005001,Primary
200005002,Secondary
200005003,"No education, preschool"
200006001,Primary
200006002,Primary
200006003,Primary
200006004,"No education, preschool"
200007001,Primary
200007002,Secondary
200007003,"No education, preschool"
200007004,"No education, preschool"
200008001,Primary
200008002,Primary
200008003,Primary
200008004,Primary
200008005,Primary
200008006,"No education, preschool"
200008007,"No education, preschool"
200008008,"No education, preschool"
200008009,Primary
200009001,Primary
200009002,Primary
200009003,Primary
200009004,Primary
200009005,Primary
200009006,"No education, preschool"
200009007,"No education, preschool"
200010001,Primary
200010002,Primary
200010003,Primary
200011001,Secondary
200011002,Primary
200011003,"No education, preschool"
200012001,"No education, preschool"
200012002,Primary
200012003,Secondary
200012004,Primary
200012005,Primary
200012006,Primary
200012007,"No education, preschool"
200012008,Primary
200013001,Primary
200013002,Primary
200013003,Secondary
200013004,Secondary
200013005,Secondary
200013006,"No education, preschool"
200013007,"No education, preschool"
200014001,Primary
200014002,Primary
200014003,Primary
200014004,Secondary
200014005,Secondary
200014006,"No education, preschool"
200014007,"No education, preschool"
200015001,Primary
200015002,"No education, preschool"
200015003,Primary
200015004,Primary
200015005,Primary
200015006,"No education, preschool"
200016001,Primary
200016002,Secondary
200016003,Primary
200017001,Primary
200017002,Primary
200017003,Primary
200017004,Primary
200017005,"No education, preschool"
200018001,Primary
200018002,Primary
200018003,Secondary
200018004,Primary
200018005,Primary
200020001,Primary
200020002,Primary
200020003,Primary
200020004,Secondary
200020005,Primary
200021001,"No education, preschool"
200021002,Primary
200021003,Primary
200022001,Primary
200022002,Primary
200022003,"No education, preschool"
200022004,"No education, preschool"
200022005,Secondary
200022006,Primary
200022007,"No education, preschool"
200022008,Secondary
200023001,Primary
200024001,Secondary
200024002,Primary
200024003,Secondary
200024004,Primary
200024005,Primary
200024006,"No education, preschool"
201001001,Secondary
201001002,"No education, preschool"
201001003,Higher
201001004,Higher
201002001,Higher
201002002,Higher
201002003,Secondary
201002004,Primary
201002005,"No education, preschool"
201003001,Secondary
201003002,Primary
201003003,Primary
201003004,Secondary
201003005,Secondary
201004001,Higher
201004002,Secondary
201004003,Secondary
201004004,Primary
201004005,"No education, preschool"
201005001,Primary
201005002,Secondary
201005003,Primary
201005004,Primary
201005005,"No education, preschool"
201005006,"No education, preschool"
201006001,Primary
201006002,Secondary
201006003,Primary
201006004,Primary
201006005,Primary
201006006,Primary
201006007,"No education, preschool"
201006008,"No education, preschool"
201006009,Secondary
201007001,Primary
201007002,Primary
201007003,Secondary
201007004,Secondary
201008001,Primary
201008002,Primary
201008003,Primary
201009001,"No education, preschool"
201009002,Primary
201009003,"No education, preschool"
201010001,Primary
201010002,Secondary
201010003,Primary
201010004,"No education, preschool"
201011001,Primary
201011002,Primary
201011003,Primary
201011004,Primary
201011005,Primary
201011006,Primary
201011007,Primary
201012001,"No education, preschool"
201012002,Primary
201012003,Primary
201012004,Primary
201012005,Primary
201012006,"No education, preschool"
201012007,Primary
201012008,Primary
201012009,Primary
201012010,Primary
201013001,Secondary
201013002,Primary
201013003,Secondary
201013004,Secondary
201013005,Primary
201014001,Primary
201014002,Secondary
201014003,Primary
201014004,"No education, preschool"
201015001,Primary
201015002,Secondary
201015003,Primary
201015004,"No education, preschool"
201015005,"No education, preschool"
201016001,Primary
201016002,Secondary
201016003,Primary
201016004,Primary
201016005,Primary
201017001,Higher
201017002,Higher
201017003,Secondary
201017004,Primary
201017005,Primary
201018001,Primary
201018002,Primary
201018003,Higher
201018004,Primary
201018005,"No education, preschool"
201018006,Secondary
201019001,Primary
201019002,Primary
201020001,Primary
201020002,"No education, preschool"
201020003,Primary
201020004,Primary
201020005,Primary
201020006,"No education, preschool"
201021001,Secondary
201021002,Primary
201021003,"No education, preschool"
201022001,Secondary
201022002,Secondary
201022003,Higher
201022004,Higher
201022005,Higher
201022006,"No education, preschool"
201023001,Primary
201023002,Secondary
201023003,Primary
201023004,"No education, preschool"
201023005,"No education, preschool"
201024001,Secondary
201024002,Secondary
202001001,Secondary
202001002,Primary
202001003,Secondary
202002001,Higher
202002002,Secondary
202003001,Primary
202003002,"No education, preschool"
202003003,Secondary
202003004,Secondary
202003005,Secondary
202004001,"No education, preschool"
202004002,Secondary
202004003,Higher
202004004,Secondary
202004005,Primary
202004006,Secondary
202004007,Primary
202004008,Primary
202004009,"No education, preschool"
202005001,Secondary
202005002,Primary
202005003,Secondary
202005004,Primary
202005005,Primary
202005006,"No education, preschool"
202006001,Higher
202006002,Primary
202006003,Secondary
202006004,Primary
202007001,Secondary
202007002,Secondary
202007003,Secondary
202007004,Secondary
202007005,Secondary
202007006,Secondary
202007007,Primary
202007008,"No education, preschool"
202008001,Secondary
202008002,"No education, preschool"
202008003,Secondary
202008004,Secondary
202008005,"No education, preschool"
202009001,Primary
202009002,Primary
202009003,Primary
202009004,"No education, preschool"
202010001,"No education, preschool"
202010002,"No education, preschool"
202010003,Secondary
202010004,Primary
202010005,Primary
202010006,Primary
202011001,Secondary
202011002,Secondary
202011003,"No education, preschool"
202011004,"No education, preschool"
202012001,Secondary
202012002,Secondary
202012003,"No education, preschool"
202013001,Primary
202013002,"No education, preschool"
202013003,Secondary
202013004,Primary
202013005,Primary
202013006,"No education, preschool"
202014001,Secondary
202014002,Primary
202014003,Primary
202014004,Primary
202014005,"No education, preschool"
202015001,Higher
202015002,Higher
202015003,Secondary
202015004,Primary
202015005,Primary
202016001,Primary
202016002,"No education, preschool"
202016003,Primary
202016004,Primary
202016005,Primary
202016006,"No education, preschool"
202017001,Primary
202017002,Primary
202017003,Primary
202017004,Higher
202017005,"No education, preschool"
202017006,Primary
202017007,Primary
202017008,"No education, preschool"
202017009,"No education, preschool"
202018001,Primary
202018002,Primary
202018003,Primary
202018004,"No education, preschool"
202019001,Primary
202019002,Secondary
202019003,Primary
202019004,Primary
202019005,Primary
202019006,"No education, preschool"
202019007,"No education, preschool"
202020001,Secondary
202020002,Primary
202020003,Secondary
202020004,Secondary
202020005,"No education, preschool"
202021001,Primary
202021002,Primary
202021003,"No education, preschool"
202022001,Primary
202022002,Primary
202022003,Primary
202022004,Primary
202023001,Secondary
202023002,Secondary
202023003,"No education, preschool"
202024001,Secondary
202024002,Primary
202024003,Secondary
202024004,"No education, preschool"
202024005,"No education, preschool"
203001001,"No education, preschool"
203001002,Primary
203001003,Primary
203001004,Primary
203002001,Primary
203002002,Primary
203002003,Primary
203002004,Primary
203002005,Secondary
203002006,"No education, preschool"
203002007,"No education, preschool"
203003001,"No education, preschool"
203003002,"No education, preschool"
203003003,"No education, preschool"
203003004,"No education, preschool"
203003005,"No education, preschool"
203004001,"No education, preschool"
203004002,Primary
203004003,"No education, preschool"
203004004,"No education, preschool"
203004005,Primary
203005001,"No education, preschool"
203005002,Primary
203005003,Primary
203005004,Primary
203006001,Primary
203006002,Primary
203007001,"No education, preschool"
203007002,Higher
203008001,Secondary
203008002,Primary
203008003,Primary
203009001,Secondary
203009002,Primary
203009003,Secondary
203009004,Secondary
203010001,Higher
203011001,Primary
203011002,Primary
203011003,Higher
203011004,Higher
203011005,Higher
203011006,Primary
203011007,Primary
203012001,"No education, preschool"
203012002,Primary
203012003,Higher
203013001,Secondary
203013002,Primary
203013003,Secondary
203013004,Higher
203013005,Higher
203014001,Higher
203014002,Higher
203014003,"No education, preschool"
203014004,"No education, preschool"
203015001,Primary
203015002,Primary
203015003,Secondary
203015004,Secondary
203015005,Higher
203015006,Secondary
203016001,Primary
203016002,Primary
203016003,Primary
203016004,Primary
203016005,"No education, preschool"
203017001,Primary
203017002,Secondary
203017003,Primary
203017004,Primary
203017005,"No education, preschool"
203018001,Primary
203018002,Primary
203018003,Primary
203018004,"No education, preschool"
203019001,Secondary
203019002,Secondary
203019003,Secondary
203019004,Primary
203020001,Primary
203020002,Primary
203020003,Primary
203021001,Secondary
203021002,Primary
203021003,Primary
203021004,Primary
203021005,Primary
203022001,Primary
203022002,"No education, preschool"
203022003,Primary
203022004,Secondary
203023001,Primary
203023002,Primary
203023003,"No education, preschool"
203024001,"No education, preschool"
203024002,Secondary
204001001,Secondary
204001002,Secondary
204001003,Secondary
204001004,Secondary
204001005,Primary
204001006,"No education, preschool"
204001007,"No education, preschool"
204002001,Primary
204002002,Primary
204002003,Secondary
204002004,Primary
204002005,Primary
204002006,Primary
204002007,Primary
204002008,"No education, preschool"
204003001,"No education, preschool"
204003002,Primary
204003003,Primary
204003004,"No education, preschool"
204003005,"No education, preschool"
204004001,Secondary
204004002,Secondary
204004003,Primary
204004004,"No education, preschool"
204005001,"No education, preschool"
204005002,Secondary
204005003,Primary
204005004,Secondary
204005005,Secondary
204005006,Primary
204005007,"No education, preschool"
204006001,Secondary
204006002,Secondary
204006003,"No education, preschool"
204006004,Primary
204007001,Primary
204007002,Secondary
204007003,Secondary
204007004,"No education, preschool"
204007005,"No education, preschool"
204008001,Secondary
204008002,Primary
204008003,Secondary
204008004,Primary
204008005,"No education, preschool"
204009001,Secondary
204009002,Primary
204009003,Secondary
204009004,Secondary
204009005,Primary
204009006,Primary
204009007,"No education, preschool"
204010001,Primary
204010002,Primary
204010003,Secondary
204011001,Higher
204011002,Primary
204011003,Primary
204011004,"No education, preschool"
204012001,Secondary
204012002,Secondary
204012003,Secondary
204012004,Primary
204012005,Primary
204012006,Primary
204012007,"No education, preschool"
204013001,Secondary
204013002,Secondary
204013003,Primary
204013004,"No education, preschool"
204014001,Primary
204014002,Primary
204014003,Secondary
204014004,Primary
204014005,Secondary
204014006,Primary
204015001,Primary
204015002,Primary
204015003,Primary
204015004,Primary
204015005,Secondary
204015006,Primary
204015007,"No education, preschool"
204015008,"No education, preschool"
204016001,Secondary
204016002,Primary
204016003,Primary
204017001,"No education, preschool"
204017002,"No education, preschool"
204017003,Primary
204017004,Primary
204018001,"No education, preschool"
204018002,"No education, preschool"
204018003,Primary
204018004,Primary
204018005,"No education, preschool"
204018006,"No education, preschool"
204019001,"No education, preschool"
204019002,Primary
204019003,"No education, preschool"
204019004,"No education, preschool"
204019005,"No education, preschool"
204019006,"No education, preschool"
204019007,"No education, preschool"
204019008,"No education, preschool"
204020001,Primary
204020002,"No education, preschool"
204020003,Primary
204021001,Primary
204021002,Primary
204021003,"No education, preschool"
204022001,"No education, preschool"
204022002,"No education, preschool"
204022003,"No education, preschool"
204022004,"No education, preschool"
204023001,Primary
204023002,Primary
204023003,Primary
204023004,Primary
204023005,"No education, preschool"
204024001,Primary
204024002,Primary
204024003,"No education, preschool"
204024004,"No education, preschool"
204024005,Primary
204024006,"No education, preschool"
204024007,"No education, preschool"
205001001,Secondary
205001002,Secondary
205001003,"No education, preschool"
205002001,Secondary
205002002,Secondary
205002003,Secondary
205003001,Secondary
205003002,Secondary
205003003,"No education, preschool"
205003004,Primary
205004001,Secondary
205004002,Secondary
205004003,Secondary
205005001,Primary
205006001,Primary
205006002,"No education, preschool"
205007001,Primary
205007002,Primary
205007003,Secondary
205007004,Secondary
205007005,Primary
205007006,Primary
205008001,Primary
205008002,Primary
205009001,Secondary
205009002,Secondary
205010001,Primary
205010002,Primary
205010003,Secondary
205010004,Higher
205011001,Secondary
205011002,"No education, preschool"
205011003,Secondary
205012001,"No education, preschool"
205012002,Primary
205012003,Secondary
205012004,Secondary
205012005,Primary
205012006,"No education, preschool"
205013001,Secondary
205013002,Primary
205013003,Secondary
205013004,"No education, preschool"
205013005,"No education, preschool"
205013006,Primary
205014001,Primary
205014002,Primary
205014003,Secondary
205014004,Primary
205014005,Secondary
205014006,Primary
205014007,"No education, preschool"
205015001,Primary
205015002,Secondary
205015003,Secondary
205015004,Primary
205015005,"No education, preschool"
205016001,Higher
205016002,Higher
205016003,Higher
205016004,Secondary
205016005,Primary
205016006,Higher
205016007,Secondary
205016008,Primary
205017001,Secondary
205017002,Secondary
205017003,Secondary
205017004,Secondary
205017005,Primary
205017006,Secondary
205017007,"No education, preschool"
205018001,Secondary
205018002,Primary
205019001,Primary
205019002,Secondary
205021001,Secondary
205021002,Primary
205022001,Primary
205022002,Primary
205022003,Primary
205022004,Secondary
205022005,Secondary
205022006,Primary
205022007,Secondary
205022008,Primary
205022009,"No education, preschool"
205023001,Secondary
205024001,Secondary
205024002,Primary
205025001,Secondary
205025002,Primary
205025003,Primary
205025004,"No education, preschool"
205026001,Primary
205026002,Secondary
205026003,Secondary
205026004,Primary
205026005,Primary
205026006,Primary
205026007,"No education, preschool"
205027001,Primary
205028001,Primary
205028002,Primary
205028003,Secondary
205028004,Secondary
205028005,Primary
205028006,Secondary
206001001,Primary
206001002,Primary
206001003,Secondary
206001004,Secondary
206001005,Secondary
206002001,Primary
206002002,Primary
206002003,Primary
206002004,Primary
206002005,"No education, preschool"
206003001,Secondary
206003002,Primary
206003003,Secondary
206003004,Secondary
206003005,Primary
206004001,Primary
206004002,Secondary
206004003,Primary
206004004,Primary
206004005,"No education, preschool"
206005001,Primary
206005002,Primary
206005003,"No education, preschool"
206006001,Primary
206006002,Secondary
206006003,Primary
206006004,Primary
206006005,"No education, preschool"
206007001,Secondary
206007002,Secondary
206007003,"No education, preschool"
206008001,Primary
206008002,Primary
206008003,Primary
206008004,"No education, preschool"
206009001,Primary
206009002,Primary
206009003,Secondary
206009004,Secondary
206009005,Secondary
206009006,Primary
206009007,Primary
206009008,"No education, preschool"
206010001,Primary
206010002,Primary
206010003,Secondary
206011001,Primary
206011002,Primary
206011003,"No education, preschool"
206012001,"No education, preschool"
206012002,Primary
206012003,Secondary
206012004,Primary
206013001,Secondary
206013002,Primary
206013003,Secondary
206014001,Primary
206014002,Primary
206015001,"No education, preschool"
206015002,Secondary
206015003,Primary
206016001,Primary
206016002,"No education, preschool"
206016003,Primary
206017001,Secondary
206017002,Primary
206017003,Primary
206017004,Primary
206017005,Secondary
206017006,Primary
206017007,Primary
206018001,Primary
206018002,Primary
206018003,Secondary
206018004,Secondary
206018005,"No education, preschool"
206018006,"No education, preschool"
206018007,Secondary
206019001,Primary
206019002,Secondary
206019003,Primary
206019004,"No education, preschool"
206020001,Secondary
206020002,Primary
206020003,Secondary
206020004,Secondary
206020005,Primary
206020006,"No education, preschool"
206020007,"No education, preschool"
206021001,Primary
206021002,Primary
206021003,Secondary
206021004,Secondary
206022001,Primary
206022002,Primary
206022003,Primary
206022004,"No education, preschool"
206022005,"No education, preschool"
206022006,"No education, preschool"
206023001,Primary
206023002,Primary
206023003,Primary
206024001,Primary
206024002,Primary
206024003,Primary
206024004,Primary
206024005,Primary
206025001,Secondary
206025002,Secondary
206025003,Secondary
206025004,Primary
206026001,Primary
206026002,Secondary
206026003,"No education, preschool"
206027001,"No education, preschool"
206027002,Primary
206027003,"No education, preschool"
206028001,"No education, preschool"
206028002,Primary
207001001,Primary
207001002,Primary
207001003,"No education, preschool"
207002001,Primary
207002002,Primary
207002003,Primary
207002004,Primary
207003001,Primary
207003002,Secondary
207003003,Secondary
207003004,Secondary
207003005,Primary
207004001,Primary
207004002,Primary
207004003,Primary
207004004,"No education, preschool"
207005001,Secondary
207005002,Primary
207005003,Primary
207005004,Secondary
207006001,Primary
207006002,Primary
207006003,"No education, preschool"
207006004,"No education, preschool"
207007001,Primary
207007002,Primary
207007003,"No education, preschool"
207009001,Primary
207009002,Primary
207010001,Primary
207010002,Primary
207010003,Primary
207010004,"No education, preschool"
207011001,Primary
207011002,Primary
207011003,"No education, preschool"
207011004,Primary
207012001,"No education, preschool"
207013001,Primary
207013002,Primary
207013003,Primary
207013004,"No education, preschool"
207013005,"No education, preschool"
207014001,Primary
207015001,Primary
207015002,Secondary
207015003,Secondary
207016001,Primary
207016002,"No education, preschool"
207017001,Primary
207017002,Primary
207017003,Primary
207017004,"No education, preschool"
207018001,Primary
207018002,Primary
207018003,Primary
207018004,Primary
207018005,Primary
207018006,"No education, preschool"
207018007,"No education, preschool"
207019001,Secondary
207019002,"No education, preschool"
207019003,Primary
207019004,"No education, preschool"
207020001,"No education, preschool"
207020002,Primary
207021001,Primary
207021002,Primary
207021003,Primary
207021004,Primary
207021005,"No education, preschool"
207022001,Primary
207022002,Primary
207022003,Primary
207022004,"No education, preschool"
207023001,Secondary
207023002,Primary
207023003,Primary
207024001,"No education, preschool"
207024002,Secondary
207024003,Secondary
207025001,Primary
207025002,Primary
207025003,Secondary
207025004,Secondary
207025005,Primary
207025006,"No education, preschool"
207025007,Secondary
207025008,"No education, preschool"
207026001,Secondary
207026002,Primary
207026003,Secondary
207027001,Secondary
207027002,Secondary
207027003,Secondary
207027004,Primary
207027005,Primary
207027006,"No education, preschool"
207027007,Primary
207028001,Primary
207028002,Primary
207028003,Primary
207028004,Primary
208001001,Primary
208001002,Primary
208001003,Secondary
208001004,Primary
208001005,Primary
208001006,"No education, preschool"
208001007,"No education, preschool"
208002001,"No education, preschool"
208002002,Primary
208002003,Primary
208002004,Primary
208002005,"No education, preschool"
208002006,"No education, preschool"
208003001,Primary
208003002,Secondary
208003003,"No education, preschool"
208004001,Primary
208004002,Primary
208004003,"No education, preschool"
208004004,Secondary
208004005,Secondary
208005001,Primary
208005002,Secondary
208005003,Primary
208005004,Primary
208005005,"No education, preschool"
208005006,"No education, preschool"
208005007,"No education, preschool"
208006001,Secondary
208006002,Higher
208006003,"No education, preschool"
208006004,Primary
208006005,Primary
208006006,Secondary
208006007,Secondary
208006008,Secondary
208007001,Primary
208007002,Primary
208007003,Primary
208007004,"No education, preschool"
208008001,Secondary
208008002,Secondary
208008003,Secondary
208008004,Primary
208008005,Primary
208009001,Secondary
208009002,Secondary
208010001,Primary
208010002,Primary
208010003,Secondary
208010004,Primary
208010005,"No education, preschool"
208011001,Primary
208011002,"No education, preschool"
208011003,Secondary
208012001,Secondary
208012002,Secondary
208012003,Primary
208012004,Primary
208012005,"No education, preschool"
208013001,Primary
208014001,Secondary
208014002,Primary
208014003,Secondary
208014004,Secondary
208014005,Primary
208014006,Primary
208014007,"No education, preschool"
208015001,Secondary
208015002,Secondary
208015003,Primary
208015004,Primary
208015005,"No education, preschool"
208016001,Secondary
208016002,Secondary
208016003,Primary
208016004,"No education, preschool"
208017001,Primary
208017002,"No education, preschool"
208018001,Primary
208018002,"No education, preschool"
208018003,Secondary
208018004,Secondary
208019001,Primary
208019002,Primary
208019003,"No education, preschool"
208019004,"No education, preschool"
208020001,Secondary
208020002,Primary
208020003,Primary
208020004,Primary
208020005,Primary
208020006,"No education, preschool"
208021001,Primary
208021002,Primary
208021003,Primary
208021004,Primary
208021005,Primary
208021006,"No education, preschool"
208021007,"No education, preschool"
208022001,"No education, preschool"
208022002,"No education, preschool"
208022003,Primary
208023001,Primary
208023002,Primary
208023003,Primary
208023004,Secondary
208023005,Primary
208024001,"No education, preschool"
208024002,"No education, preschool"
208024003,"No education, preschool"
208024004,"No education, preschool"
208024005,Secondary
208025001,Secondary
208025002,Primary
208026001,Secondary
208026002,Primary
208026003,Secondary
208026004,Secondary
208026005,Secondary
208026006,Secondary
208027001,Primary
208028001,Primary
208028002,Primary
208028003,"No education, preschool"
208028004,"No education, preschool"
209001001,Secondary
209001002,Secondary
209001003,Primary
209001004,Primary
209001005,"No education, preschool"
209002001,Primary
209002002,Primary
209002003,Secondary
209002004,Secondary
209002005,Primary
209002006,Primary
209002007,"No education, preschool"
209003001,Primary
209003002,Primary
209003003,Primary
209003004,Secondary
209003005,Primary
209003006,Primary
209004001,Primary
209004002,Secondary
209004003,Secondary
209004004,Primary
209004005,Primary
209004006,"No education, preschool"
209004007,"No education, preschool"
209005001,"No education, preschool"
209006001,Primary
209006002,Primary
209006003,Secondary
209006004,Primary
209006005,Primary
209006006,"No education, preschool"
209007001,"No education, preschool"
209007002,Primary
209007003,Secondary
209007004,Secondary
209007005,"No education, preschool"
209007006,"No education, preschool"
209007007,Primary
209008001,Primary
209008002,Secondary
209008003,"No education, preschool"
209009001,"No education, preschool"
209009002,Primary
209009003,Primary
209009004,Secondary
209009005,Primary
209011001,Primary
209011002,Primary
209011003,Primary
209011004,Secondary
209012001,Primary
209012002,"No education, preschool"
209013001,Primary
209013002,Primary
209013003,Primary
209013004,Primary
209013005,Primary
209013006,Primary
209013007,"No education, preschool"
209014001,Primary
209014002,Primary
209014003,Primary
209014004,Secondary
209014005,"No education, preschool"
209015001,"No education, preschool"
209015002,Secondary
209015003,Secondary
209015004,Primary
209015005,Secondary
209015006,"No education, preschool"
209015007,Primary
209015008,Primary
209016001,Primary
209016002,Primary
209016003,Primary
209016004,Primary
209016005,"No education, preschool"
209016006,"No education, preschool"
209017001,Primary
209017002,Primary
209017003,Secondary
209018001,Secondary
209018002,Primary
209018003,Primary
209018004,Primary
209018005,"No education, preschool"
209019001,Secondary
209019002,Primary
209019003,Primary
209019004,Secondary
209019005,Primary
209019006,Primary
209019007,Primary
209019008,Primary
209019009,Primary
209019010,"No education, preschool"
209020001,Primary
209020002,Primary
209020003,Secondary
209020004,Primary
209020005,"No education, preschool"
209020006,"No education, preschool"
209021001,"No education, preschool"
209021002,Secondary
209021003,Secondary
209021004,Secondary
209021005,Secondary
209022001,Primary
209022002,Secondary
209022003,Secondary
209022004,Primary
209022005,Primary
209022006,"No education, preschool"
209022007,"No education, preschool"
209023001,"No education, preschool"
209023002,Primary
209023003,"No education, preschool"
209024001,Secondary
209024002,Secondary
209024003,Primary
209025001,Secondary
209025002,"No education, preschool"
209025003,"No education, preschool"
209025004,"No education, preschool"
209026001,Primary
209026002,Primary
209026003,Primary
209027001,"No education, preschool"
209027002,"No education, preschool"
209028001,Primary
209028002,Primary
209028003,Secondary
209028004,Secondary
210001001,Secondary
210001002,Primary
210001003,Primary
210001004,Primary
210001005,"No education, preschool"
210002001,Primary
210002002,Primary
210002003,Primary
210002004,"No education, preschool"
210003001,Primary
210003002,Primary
210003003,Secondary
210003004,Secondary
210003005,Primary
210003006,Secondary
210003007,Primary
210003008,Primary
210004001,Primary
210004002,Primary
210004003,"No education, preschool"
210005001,Secondary
210005002,Secondary
210005003,"No education, preschool"
210007001,Primary
210007002,Primary
210007003,Primary
210007004,Primary
210007005,Secondary
210007006,Primary
210007007,"No education, preschool"
210007008,"No education, preschool"
210008001,"No education, preschool"
210008002,Primary
210008003,"No education, preschool"
210008004,"No education, preschool"
210008005,"No education, preschool"
210009001,"No education, preschool"
210009002,Primary
210009003,Secondary
210009004,Secondary
210009005,Primary
210009006,Primary
210010001,Primary
210010002,Secondary
210010003,"No education, preschool"
210010004,"No education, preschool"
210010005,"No education, preschool"
210010006,Primary
210011001,Primary
210011002,"No education, preschool"
210011003,Secondary
210011004,Primary
210011005,Secondary
210011006,Primary
210011007,"No education, preschool"
210012001,Primary
210012002,Primary
210012003,Secondary
210012004,Secondary
210012005,Secondary
210012006,Primary
210012007,Primary
210012008,Primary
210013001,Secondary
210013002,Primary
210013003,Primary
210013004,"No education, preschool"
210013005,Secondary
210013006,Secondary
210013007,"No education, preschool"
210014001,Primary
210014002,Primary
210014003,"No education, preschool"
210014004,"No education, preschool"
210014005,"No education, preschool"
210014006,"No education, preschool"
210015001,"No education, preschool"
210015002,Primary
210015003,Primary
210015004,Primary
210015005,Primary
210015006,"No education, preschool"
210016001,Primary
210016002,Primary
210016003,Primary
210016004,"No education, preschool"
210017001,"No education, preschool"
210017002,Primary
210017003,Secondary
210017004,Primary
210017005,"No education, preschool"
210017006,Primary
210018001,Primary
210018002,Primary
210018003,Primary
210018004,Primary
210018005,"No education, preschool"
210018006,"No education, preschool"
210018007,"No education, preschool"
210019001,Primary
210019002,Primary
210019003,Secondary
210019004,Primary
210019005,Secondary
210019006,Primary
210019007,Primary
210020001,Primary
210020002,Primary
210020003,Primary
210020004,"No education, preschool"
210021001,Primary
210021002,Primary
210021003,"No education, preschool"
210021004,"No education, preschool"
210022001,"No education, preschool"
210022002,"No education, preschool"
210022003,Primary
210022004,Primary
210023001,Primary
210023002,Primary
210023003,Secondary
210023004,"No education, preschool"
210024001,Primary
210024002,Primary
210024003,"No education, preschool"
210024004,"No education, preschool"
210024005,"No education, preschool"
210024006,"No education, preschool"
210024007,Primary
210025001,Primary
210025002,Primary
210025003,Primary
210025004,"No education, preschool"
210026001,Primary
210026002,"No education, preschool"
210026003,Primary
210026004,Secondary
210026005,Secondary
210026006,Primary
210026007,Primary
210026008,Primary
210027001,Secondary
210027002,Primary
210027003,Primary
210027004,"No education, preschool"
210027005,"No education, preschool"
211001001,Primary
211001002,Primary
211001003,"No education, preschool"
211002001,"No education, preschool"
211002002,Primary
211002003,Primary
211002004,Primary
211002005,Primary
211002006,"No education, preschool"
211003001,Primary
211003002,Primary
211003003,"No education, preschool"
211003004,"No education, preschool"
211003005,Primary
211004001,Secondary
211004002,Secondary
211005001,Secondary
211005002,Secondary
211005003,Secondary
211005004,Primary
211005005,Secondary
211006001,Primary
211006002,Primary
211006003,Primary
211006004,Secondary
211006005,Primary
211006006,Primary
211006007,"No education, preschool"
211007001,Primary
211007002,Primary
211007003,Primary
211007004,"No education, preschool"
211008001,Primary
211008002,Secondary
211009001,Primary
211009002,Primary
211009003,"No education, preschool"
211009004,"No education, preschool"
211010001,Secondary
211010002,"No education, preschool"
211010003,Primary
211010004,Primary
211010005,Primary
211010006,Primary
211010007,"No education, preschool"
211010008,"No education, preschool"
211010009,Primary
211010010,"No education, preschool"
211011001,Primary
211011002,Primary
211011003,Primary
211011004,"No education, preschool"
211011005,"No education, preschool"
211011006,"No education, preschool"
211012001,Primary
211012002,"No education, preschool"
211013001,Primary
211013002,Primary
211013003,Primary
211013004,Primary
211013005,Primary
211013006,"No education, preschool"
211014001,Primary
211014002,"No education, preschool"
211014003,Primary
211014004,Primary
211014005,Primary
211014006,"No education, preschool"
211015001,Primary
211015002,Primary
211015003,"No education, preschool"
211015004,"No education, preschool"
211015005,"No education, preschool"
211016001,"No education, preschool"
211016002,"No education, preschool"
211016003,Primary
211017001,"No education, preschool"
211017002,Primary
211018001,"No education, preschool"
211019001,"No education, preschool"
211019002,Secondary
211019003,Primary
211019004,"No education, preschool"
211020001,Primary
211020002,Primary
211020003,Primary
211020004,Primary
211020005,Primary
211020006,Secondary
211021001,Primary
211021002,Secondary
211021003,"No education, preschool"
211022001,Secondary
211022002,Primary
211022003,"No education, preschool"
211022004,"No education, preschool"
211022005,"No education, preschool"
211022006,Primary
211022007,Primary
211023001,"No education, preschool"
211023002,"No education, preschool"
211023003,Primary
211024001,Primary
211024002,Primary
211024003,"No education, preschool"
211024004,Primary
211024005,Primary
211024006,"No education, preschool"
211024007,"No education, preschool"
211024008,"No education, preschool"
211025001,Primary
211025002,Primary
211025003,"No education, preschool"
211025004,"No education, preschool"
211026001,Primary
211026002,Primary
211026003,Primary
211026004,Primary
211026005,Primary
211027001,Primary
211027002,Primary
211027003,Primary
211027004,Secondary
211028001,Primary
211028002,Secondary
211028003,Primary
211028004,"No education, preschool"
211028005,Primary
212001001,Primary
212001002,Primary
212001003,Primary
212001004,"No education, preschool"
212002001,Primary
212002002,"No education, preschool"
212002003,"No education, preschool"
212002004,"No education, preschool"
212002005,"No education, preschool"
212003001,Primary
212003002,Primary
212003003,Primary
212003004,Primary
212003005,Primary
212004001,"No education, preschool"
212004002,"No education, preschool"
212004003,Primary
212004004,Primary
212004005,Primary
212004006,Primary
212005001,"No education, preschool"
