,int_2014_Urban,int_2014_Plateau,int_2014_None_Primary,int_2014_Richest,int_2014_Elderly HoH: NO,int_2014_Male
residence,"[c0    1.518363
Name: coef, dtype: float64, c0    1.139253
Name: t, dtype: float64, c0    0.254643
Name: P>|t|, dtype: float64]",,,,,
region,,"[c0   -2.569659
Name: coef, dtype: float64, c0   -1.387187
Name: t, dtype: float64, c0    0.165551
Name: P>|t|, dtype: float64]",,,,
mother_edu_biv,,,"[c0   -2.927046
Name: coef, dtype: float64, c0   -2.583618
Name: t, dtype: float64, c0    0.0098
Name: P>|t|, dtype: float64]",,,
wealth_q,,,,"[c0    0.303732
Name: coef, dtype: float64, c0    0.214428
Name: t, dtype: float64, c0    0.83023
Name: P>|t|, dtype: float64]",,
elderly_hoh,,,,,"[c0   -3.414417
Name: coef, dtype: float64, c0   -2.460282
Name: t, dtype: float64, c0    0.013911
Name: P>|t|, dtype: float64]",
sex_hoh,,,,,,"[c0   -1.167253
Name: coef, dtype: float64, c0   -1.018701
Name: t, dtype: float64, c0    0.308386
Name: P>|t|, dtype: float64]"
