HHID,residence,region,wealth_q
001001,Rural,Great Lake,Richest
001002,Rural,Great Lake,Middle
001003,Rural,Great Lake,Richest
001004,Rural,Great Lake,Richest
001005,Rural,Great Lake,Rich
001006,Rural,Great Lake,Rich
001007,Rural,Great Lake,Rich
001008,Rural,Great Lake,Rich
001009,Rural,Great Lake,Middle
001010,Rural,Great Lake,Richest
001011,Rural,Great Lake,Richest
001012,Rural,Great Lake,Richest
001013,Rural,Great Lake,Richest
001014,Rural,Great Lake,Rich
001015,Rural,Great Lake,Richest
001016,Rural,Great Lake,Richest
001017,Rural,Great Lake,Rich
001018,Rural,Great Lake,Rich
001019,Rural,Great Lake,Richest
001020,Rural,Great Lake,Richest
001021,Rural,Great Lake,Rich
001022,Rural,Great Lake,Rich
001023,Rural,Great Lake,Richest
001024,Rural,Great Lake,Richest
001025,Rural,Great Lake,Rich
001026,Rural,Great Lake,Richest
001027,Rural,Great Lake,Rich
001028,Rural,Great Lake,Rich
002004,Rural,Great Lake,Rich
002008,Rural,Great Lake,Middle
002011,Rural,Great Lake,Middle
002015,Rural,Great Lake,Rich
002019,Rural,Great Lake,Rich
002023,Rural,Great Lake,Rich
002026,Rural,Great Lake,Richest
002030,Rural,Great Lake,Poor
002034,Rural,Great Lake,Middle
002038,Rural,Great Lake,Poor
002041,Rural,Great Lake,Rich
002045,Rural,Great Lake,Middle
002049,Rural,Great Lake,Rich
002053,Rural,Great Lake,Poor
002056,Rural,Great Lake,Rich
002060,Rural,Great Lake,Rich
002064,Rural,Great Lake,Rich
002068,Rural,Great Lake,Rich
002071,Rural,Great Lake,Rich
002075,Rural,Great Lake,Middle
002079,Rural,Great Lake,Middle
002083,Rural,Great Lake,Poor
002086,Rural,Great Lake,Poorest
002090,Rural,Great Lake,Rich
002094,Rural,Great Lake,Poorest
002105,Rural,Great Lake,Poorest
003002,Rural,Great Lake,Richest
003004,Rural,Great Lake,Poorest
003007,Rural,Great Lake,Poorest
003010,Rural,Great Lake,Middle
003012,Rural,Great Lake,Rich
003015,Rural,Great Lake,Richest
003020,Rural,Great Lake,Poorest
003022,Rural,Great Lake,Poor
003025,Rural,Great Lake,Poor
003028,Rural,Great Lake,Rich
003030,Rural,Great Lake,Rich
003033,Rural,Great Lake,Middle
003035,Rural,Great Lake,Middle
003038,Rural,Great Lake,Poorest
003040,Rural,Great Lake,Richest
003043,Rural,Great Lake,Rich
003046,Rural,Great Lake,Middle
003048,Rural,Great Lake,Richest
003051,Rural,Great Lake,Richest
003053,Rural,Great Lake,Rich
003056,Rural,Great Lake,Poor
003058,Rural,Great Lake,Rich
003061,Rural,Great Lake,Poor
003064,Rural,Great Lake,Middle
003066,Rural,Great Lake,Poor
003069,Rural,Great Lake,Richest
003071,Rural,Great Lake,Middle
004004,Rural,Great Lake,Poorest
004007,Rural,Great Lake,Rich
004009,Rural,Great Lake,Poorest
004012,Rural,Great Lake,Middle
004014,Rural,Great Lake,Poor
004017,Rural,Great Lake,Rich
004019,Rural,Great Lake,Middle
004022,Rural,Great Lake,Poor
004025,Rural,Great Lake,Poor
004027,Rural,Great Lake,Middle
004030,Rural,Great Lake,Poorest
004032,Rural,Great Lake,Middle
004035,Rural,Great Lake,Middle
004037,Rural,Great Lake,Poor
004040,Rural,Great Lake,Poorest
004043,Rural,Great Lake,Poorest
004045,Rural,Great Lake,Poor
004053,Rural,Great Lake,Poor
004055,Rural,Great Lake,Poorest
004061,Rural,Great Lake,Middle
004063,Rural,Great Lake,Rich
004066,Rural,Great Lake,Rich
004068,Rural,Great Lake,Poorest
004071,Rural,Great Lake,Poor
005003,Urban,Great Lake,Richest
005008,Urban,Great Lake,Rich
005012,Urban,Great Lake,Richest
005016,Urban,Great Lake,Richest
005020,Urban,Great Lake,Richest
005025,Urban,Great Lake,Richest
005029,Urban,Great Lake,Rich
005033,Urban,Great Lake,Richest
005037,Urban,Great Lake,Richest
005042,Urban,Great Lake,Richest
005046,Urban,Great Lake,Richest
005050,Urban,Great Lake,Richest
005054,Urban,Great Lake,Richest
005059,Urban,Great Lake,Richest
005063,Urban,Great Lake,Rich
005071,Urban,Great Lake,Middle
005076,Urban,Great Lake,Rich
005080,Urban,Great Lake,Middle
005084,Urban,Great Lake,Richest
005088,Urban,Great Lake,Rich
005093,Urban,Great Lake,Richest
005097,Urban,Great Lake,Middle
005101,Urban,Great Lake,Richest
006002,Urban,Great Lake,Rich
006005,Urban,Great Lake,Richest
006008,Urban,Great Lake,Richest
006010,Urban,Great Lake,Richest
006013,Urban,Great Lake,Richest
006015,Urban,Great Lake,Richest
006021,Urban,Great Lake,Richest
006023,Urban,Great Lake,Richest
006026,Urban,Great Lake,Richest
006028,Urban,Great Lake,Richest
006033,Urban,Great Lake,Richest
006036,Urban,Great Lake,Rich
006039,Urban,Great Lake,Richest
006041,Urban,Great Lake,Middle
006044,Urban,Great Lake,Rich
006046,Urban,Great Lake,Rich
006049,Urban,Great Lake,Rich
006052,Urban,Great Lake,Richest
006054,Urban,Great Lake,Richest
006057,Urban,Great Lake,Rich
006059,Urban,Great Lake,Rich
006062,Urban,Great Lake,Rich
007002,Rural,Great Lake,Middle
007005,Rural,Great Lake,Rich
007008,Rural,Great Lake,Rich
007010,Rural,Great Lake,Rich
007013,Rural,Great Lake,Middle
007019,Rural,Great Lake,Middle
007022,Rural,Great Lake,Middle
007024,Rural,Great Lake,Middle
007027,Rural,Great Lake,Middle
007030,Rural,Great Lake,Poorest
007033,Rural,Great Lake,Middle
