HHID,residence,region,wealth_q
001001,Urban,Great Lake,Rich
001003,Urban,Great Lake,Middle
001004,Urban,Great Lake,Rich
001006,Urban,Great Lake,Middle
001007,Urban,Great Lake,Middle
001008,Urban,Great Lake,Rich
001010,Urban,Great Lake,Rich
001011,Urban,Great Lake,Rich
001013,Urban,Great Lake,Poor
001014,Urban,Great Lake,Poorest
001015,Urban,Great Lake,Rich
001016,Urban,Great Lake,Poorest
001017,Urban,Great Lake,Middle
001018,Urban,Great Lake,Middle
001019,Urban,Great Lake,Rich
001020,Urban,Great Lake,Poor
001021,Urban,Great Lake,Poor
001022,Urban,Great Lake,Middle
001024,Urban,Great Lake,Rich
001025,Urban,Great Lake,Richest
001026,Urban,Great Lake,Poor
001028,Urban,Great Lake,Middle
002002,Rural,Great Lake,Richest
002003,Rural,Great Lake,Richest
002004,Rural,Great Lake,Richest
002005,Rural,Great Lake,Richest
002006,Rural,Great Lake,Middle
002008,Rural,Great Lake,Rich
002010,Rural,Great Lake,Richest
002011,Rural,Great Lake,Richest
002012,Rural,Great Lake,Richest
002013,Rural,Great Lake,Richest
002014,Rural,Great Lake,Richest
002015,Rural,Great Lake,Richest
002016,Rural,Great Lake,Richest
002017,Rural,Great Lake,Rich
002018,Rural,Great Lake,Rich
002020,Rural,Great Lake,Richest
002021,Rural,Great Lake,Middle
002022,Rural,Great Lake,Rich
002023,Rural,Great Lake,Richest
002024,Rural,Great Lake,Richest
002026,Rural,Great Lake,Middle
002027,Rural,Great Lake,Richest
002028,Rural,Great Lake,Richest
003001,Rural,Plateau,Middle
003002,Rural,Plateau,Poorest
003003,Rural,Plateau,Rich
003004,Rural,Plateau,Middle
003005,Rural,Plateau,Poor
003006,Rural,Plateau,Poorest
003007,Rural,Plateau,Middle
003008,Rural,Plateau,Richest
003009,Rural,Plateau,Poorest
003010,Rural,Plateau,Poorest
003011,Rural,Plateau,Poor
003012,Rural,Plateau,Rich
003013,Rural,Plateau,Poorest
003014,Rural,Plateau,Rich
003016,Rural,Plateau,Middle
003017,Rural,Plateau,Middle
003018,Rural,Plateau,Poor
003019,Rural,Plateau,Poor
003020,Rural,Plateau,Rich
003021,Rural,Plateau,Rich
003022,Rural,Plateau,Rich
003023,Rural,Plateau,Rich
003024,Rural,Plateau,Poor
003025,Rural,Plateau,Poor
003026,Rural,Plateau,Poorest
003027,Rural,Plateau,Poor
003028,Rural,Plateau,Poorest
004002,Rural,Great Lake,Poor
004003,Rural,Great Lake,Poor
004004,Rural,Great Lake,Middle
004005,Rural,Great Lake,Poor
004006,Rural,Great Lake,Middle
004008,Rural,Great Lake,Richest
004009,Rural,Great Lake,Rich
004010,Rural,Great Lake,Richest
004011,Rural,Great Lake,Richest
004012,Rural,Great Lake,Rich
004013,Rural,Great Lake,Richest
004015,Rural,Great Lake,Middle
004016,Rural,Great Lake,Richest
004017,Rural,Great Lake,Rich
004018,Rural,Great Lake,Middle
004019,Rural,Great Lake,Rich
004020,Rural,Great Lake,Poorest
004021,Rural,Great Lake,Middle
004023,Rural,Great Lake,Rich
004025,Rural,Great Lake,Rich
004027,Rural,Great Lake,Poor
004028,Rural,Great Lake,Rich
005001,Urban,Plain,Poorest
005002,Urban,Plain,Middle
005004,Urban,Plain,Poor
005005,Urban,Plain,Poorest
005006,Urban,Plain,Middle
005007,Urban,Plain,Poor
005008,Urban,Plain,Poor
005009,Urban,Plain,Poor
005010,Urban,Plain,Poorest
005011,Urban,Plain,Poorest
005012,Urban,Plain,Middle
005013,Urban,Plain,Poor
005014,Urban,Plain,Poorest
005015,Urban,Plain,Poorest
005017,Urban,Plain,Poorest
005019,Urban,Plain,Middle
005020,Urban,Plain,Poorest
005021,Urban,Plain,Poorest
005022,Urban,Plain,Middle
005023,Urban,Plain,Poor
005024,Urban,Plain,Middle
005025,Urban,Plain,Poor
005026,Urban,Plain,Rich
005027,Urban,Plain,Middle
006001,Rural,Plateau,Poor
006002,Rural,Plateau,Poor
006003,Rural,Plateau,Rich
006004,Rural,Plateau,Middle
006005,Rural,Plateau,Poor
006006,Rural,Plateau,Rich
006007,Rural,Plateau,Richest
006008,Rural,Plateau,Rich
006009,Rural,Plateau,Poor
006010,Rural,Plateau,Middle
006011,Rural,Plateau,Poor
006012,Rural,Plateau,Middle
006014,Rural,Plateau,Rich
006015,Rural,Plateau,Poor
006016,Rural,Plateau,Rich
006017,Rural,Plateau,Poor
006018,Rural,Plateau,Middle
006019,Rural,Plateau,Middle
006020,Rural,Plateau,Middle
006021,Rural,Plateau,Middle
006022,Rural,Plateau,Middle
006023,Rural,Plateau,Poorest
006024,Rural,Plateau,Middle
006026,Rural,Plateau,Middle
006027,Rural,Plateau,Middle
006028,Rural,Plateau,Middle
007001,Rural,Plain,Poorest
007002,Rural,Plain,Poor
007003,Rural,Plain,Rich
007004,Rural,Plain,Rich
007005,Rural,Plain,Rich
007006,Rural,Plain,Middle
007007,Rural,Plain,Poor
007008,Rural,Plain,Richest
007009,Rural,Plain,Richest
007010,Rural,Plain,Richest
007011,Rural,Plain,Poor
007012,Rural,Plain,Poor
007013,Rural,Plain,Richest
007014,Rural,Plain,Poor
007015,Rural,Plain,Poor
007016,Rural,Plain,Rich
007017,Rural,Plain,Richest
007018,Rural,Plain,Rich
007019,Rural,Plain,Poorest
007020,Rural,Plain,Richest
007021,Rural,Plain,Poorest
007023,Rural,Plain,Rich
007024,Rural,Plain,Middle
007025,Rural,Plain,Rich
007026,Rural,Plain,Rich
007027,Rural,Plain,Poor
007028,Rural,Plain,Rich
008001,Rural,Plain,Richest
008002,Rural,Plain,Poorest
008004,Rural,Plain,Middle
008005,Rural,Plain,Rich
008006,Rural,Plain,Rich
008007,Rural,Plain,Rich
008008,Rural,Plain,Richest
008009,Rural,Plain,Rich
008010,Rural,Plain,Middle
008011,Rural,Plain,Poor
008012,Rural,Plain,Poor
008013,Rural,Plain,Rich
008014,Rural,Plain,Rich
008015,Rural,Plain,Richest
008016,Rural,Plain,Middle
008017,Rural,Plain,Rich
008018,Rural,Plain,Poor
008019,Rural,Plain,Rich
008020,Rural,Plain,Poor
008021,Rural,Plain,Middle
008022,Rural,Plain,Rich
008023,Rural,Plain,Richest
008024,Rural,Plain,Poorest
008025,Rural,Plain,Poor
008026,Rural,Plain,Rich
008027,Rural,Plain,Middle
008028,Rural,Plain,Richest
009002,Rural,Plain,Poor
009003,Rural,Plain,Rich
009004,Rural,Plain,Middle
009006,Rural,Plain,Poorest
009007,Rural,Plain,Poor
009008,Rural,Plain,Poor
009009,Rural,Plain,Poorest
009010,Rural,Plain,Rich
009011,Rural,Plain,Poorest
009012,Rural,Plain,Middle
009013,Rural,Plain,Middle
009014,Rural,Plain,Poorest
009015,Rural,Plain,Poor
009016,Rural,Plain,Poorest
009018,Rural,Plain,Rich
009019,Rural,Plain,Rich
009020,Rural,Plain,Rich
009021,Rural,Plain,Rich
009022,Rural,Plain,Middle
009023,Rural,Plain,Poor
009024,Rural,Plain,Rich
009025,Rural,Plain,Poorest
009026,Rural,Plain,Poorest
009027,Rural,Plain,Rich
009028,Rural,Plain,Middle
010001,Rural,Plain,Poor
010002,Rural,Plain,Poorest
010003,Rural,Plain,Rich
010004,Rural,Plain,Poor
010005,Rural,Plain,Middle
010006,Rural,Plain,Poorest
010007,Rural,Plain,Poorest
010008,Rural,Plain,Middle
010009,Rural,Plain,Rich
010010,Rural,Plain,Middle
010011,Rural,Plain,Poor
010012,Rural,Plain,Poorest
010013,Rural,Plain,Poorest
010014,Rural,Plain,Middle
010015,Rural,Plain,Poorest
010016,Rural,Plain,Poor
010017,Rural,Plain,Poor
010018,Rural,Plain,Poor
010019,Rural,Plain,Middle
010020,Rural,Plain,Poorest
010021,Rural,Plain,Rich
010022,Rural,Plain,Richest
010023,Rural,Plain,Poorest
010024,Rural,Plain,Poorest
010025,Rural,Plain,Poor
010026,Rural,Plain,Poorest
010027,Rural,Plain,Poor
010028,Rural,Plain,Poorest
011001,Rural,Great Lake,Rich
011002,Rural,Great Lake,Rich
011003,Rural,Great Lake,Middle
011004,Rural,Great Lake,Poorest
011005,Rural,Great Lake,Middle
011006,Rural,Great Lake,Poorest
011007,Rural,Great Lake,Middle
011008,Rural,Great Lake,Poor
011009,Rural,Great Lake,Poor
011010,Rural,Great Lake,Middle
011011,Rural,Great Lake,Poor
011012,Rural,Great Lake,Poor
011013,Rural,Great Lake,Poor
011014,Rural,Great Lake,Poor
011015,Rural,Great Lake,Poor
011016,Rural,Great Lake,Poor
011018,Rural,Great Lake,Poorest
011019,Rural,Great Lake,Poorest
011020,Rural,Great Lake,Rich
011021,Rural,Great Lake,Poorest
011022,Rural,Great Lake,Poorest
011023,Rural,Great Lake,Poorest
011024,Rural,Great Lake,Rich
011025,Rural,Great Lake,Rich
011027,Rural,Great Lake,Middle
011028,Rural,Great Lake,Poorest
012001,Rural,Plain,Rich
012002,Rural,Plain,Poorest
012003,Rural,Plain,Rich
012004,Rural,Plain,Middle
012005,Rural,Plain,Middle
012006,Rural,Plain,Rich
012007,Rural,Plain,Poor
012008,Rural,Plain,Poor
012009,Rural,Plain,Poorest
012010,Rural,Plain,Poorest
012011,Rural,Plain,Middle
012013,Rural,Plain,Poor
012014,Rural,Plain,Poor
012015,Rural,Plain,Poorest
012016,Rural,Plain,Middle
012017,Rural,Plain,Middle
012018,Rural,Plain,Poor
012019,Rural,Plain,Poorest
012020,Rural,Plain,Poor
012021,Rural,Plain,Poor
012023,Rural,Plain,Poor
012025,Rural,Plain,Poorest
012026,Rural,Plain,Poor
012027,Rural,Plain,Poor
012028,Rural,Plain,Poor
013001,Rural,Plateau,Middle
013002,Rural,Plateau,Rich
013003,Rural,Plateau,Middle
013004,Rural,Plateau,Poor
013005,Rural,Plateau,Poor
013006,Rural,Plateau,Poor
013007,Rural,Plateau,Poor
013008,Rural,Plateau,Poor
013009,Rural,Plateau,Middle
013010,Rural,Plateau,Poor
013011,Rural,Plateau,Middle
013012,Rural,Plateau,Poor
013013,Rural,Plateau,Middle
013014,Rural,Plateau,Middle
013015,Rural,Plateau,Rich
013017,Rural,Plateau,Rich
013019,Rural,Plateau,Poor
013020,Rural,Plateau,Middle
013021,Rural,Plateau,Middle
013022,Rural,Plateau,Rich
013023,Rural,Plateau,Poor
013024,Rural,Plateau,Poor
013025,Rural,Plateau,Poor
013026,Rural,Plateau,Poorest
013027,Rural,Plateau,Poor
014001,Rural,Great Lake,Richest
014002,Rural,Great Lake,Richest
014003,Rural,Great Lake,Rich
014005,Rural,Great Lake,Rich
014006,Rural,Great Lake,Richest
014007,Rural,Great Lake,Richest
014008,Rural,Great Lake,Rich
014009,Rural,Great Lake,Richest
014010,Rural,Great Lake,Richest
014011,Rural,Great Lake,Rich
014012,Rural,Great Lake,Rich
014013,Rural,Great Lake,Rich
014014,Rural,Great Lake,Richest
014015,Rural,Great Lake,Rich
014018,Rural,Great Lake,Middle
014019,Rural,Great Lake,Richest
014020,Rural,Great Lake,Rich
014021,Rural,Great Lake,Richest
014022,Rural,Great Lake,Rich
014023,Rural,Great Lake,Richest
014024,Rural,Great Lake,Richest
014025,Rural,Great Lake,Middle
014026,Rural,Great Lake,Rich
014027,Rural,Great Lake,Richest
014028,Rural,Great Lake,Richest
015001,Urban,Plain,Rich
015003,Urban,Plain,Middle
015004,Urban,Plain,Rich
015005,Urban,Plain,Middle
015007,Urban,Plain,Poorest
015008,Urban,Plain,Middle
015009,Urban,Plain,Richest
015010,Urban,Plain,Poor
015011,Urban,Plain,Poor
015012,Urban,Plain,Poor
015013,Urban,Plain,Middle
015014,Urban,Plain,Poor
015016,Urban,Plain,Middle
015017,Urban,Plain,Middle
015018,Urban,Plain,Poor
015019,Urban,Plain,Middle
015021,Urban,Plain,Poor
015022,Urban,Plain,Poor
015024,Urban,Plain,Poorest
015025,Urban,Plain,Middle
015026,Urban,Plain,Middle
015027,Urban,Plain,Rich
015028,Urban,Plain,Rich
016001,Rural,Coastal,Rich
016002,Rural,Coastal,Poorest
016003,Rural,Coastal,Rich
016004,Rural,Coastal,Poorest
016005,Rural,Coastal,Poorest
016006,Rural,Coastal,Middle
016007,Rural,Coastal,Middle
016008,Rural,Coastal,Poor
016009,Rural,Coastal,Middle
016010,Rural,Coastal,Rich
016011,Rural,Coastal,Rich
016012,Rural,Coastal,Rich
016013,Rural,Coastal,Middle
016014,Rural,Coastal,Poorest
016015,Rural,Coastal,Middle
016016,Rural,Coastal,Middle
016017,Rural,Coastal,Poorest
016018,Rural,Coastal,Middle
016019,Rural,Coastal,Poor
016020,Rural,Coastal,Rich
016021,Rural,Coastal,Middle
016022,Rural,Coastal,Poor
016023,Rural,Coastal,Rich
016024,Rural,Coastal,Poor
016026,Rural,Coastal,Poorest
016027,Rural,Coastal,Poorest
